Script started on 2021-04-20 23:25:53-0400
]0;osboxes@ubuntu: ~/comp3080/Assignment5[01;32mosboxes@ubuntu[00m:[01;34m~/comp3080/Assignment5[00m$ exit./a5 bf 1 proj5_dataexit[K./a5 ff 512 proj5_dataexit[K./a5 ff 512 proj5_data[1P[1@b
MANAGEMENT POLICY = Best Fit	POOL SIZE = 512 KB

TOTAL ALLOCATIONS: 500

Seq #  Type   Size/Rq  Free Total  Free Elems   LargestChunk
1	alloc	99744	 512		1	512
2	alloc	111776	 512		1	512
3	alloc	64864	 512		1	512
4	alloc	91552	 512		1	512
5	free	111776	 512		1	512
6	free	91552	 512		1	512
7	alloc	5600	 512		1	512
8	alloc	110304	 512		1	512
9	alloc	78688	 512		1	512
10	alloc	8032	 512		1	512
11	alloc	27872	 512		1	512
12	alloc	72992	 512		1	512
13	alloc	4960	 512		1	512
14	alloc	58400	 512		1	512
15	alloc	84640	 512		1	512
16	free	78688	 512		1	512
17	alloc	25760	 512		1	512
18	free	5600	 512		1	512
19	free	64864	 512		1	512
20	alloc	6496	 512		1	512
21	alloc	118240	 512		1	512
22	free	27872	 512		1	512
23	alloc	44448	 512		1	512
24	free	8032	 512		1	512
25	alloc	113440	 512		1	512
26	free	99744	 512		1	512
27	free	118240	 512		1	512
28	free	6496	 512		1	512
29	free	84640	 512		1	512
30	alloc	115040	 512		1	512
31	free	25760	 512		1	512
32	alloc	55072	 512		1	512
33	free	4960	 512		1	512
34	free	44448	 512		1	512
35	free	55072	 512		1	512
36	alloc	57312	 512		1	512
37	alloc	101408	 512		1	512
38	free	110304	 512		1	512
39	free	72992	 512		1	512
40	free	58400	 512		1	512
41	alloc	71328	 512		1	512
42	alloc	26144	 512		1	512
43	alloc	55968	 512		1	512
44	alloc	17824	 512		1	512
45	free	26144	 512		1	512
46	free	57312	 512		1	512
47	alloc	49120	 512		1	512
48	free	71328	 512		1	512
49	alloc	87200	 512		1	512
50	alloc	16928	 512		1	512
51	alloc	10848	 512		1	512
52	free	16928	 512		1	512
53	free	87200	 512		1	512
54	alloc	110112	 512		1	512
55	free	113440	 512		1	512
56	alloc	36640	 512		1	512
57	free	110112	 512		1	512
58	alloc	90592	 512		1	512
59	alloc	32	 480		1	480
60	free	115040	 480		1	480
61	alloc	57312	 480		1	480
62	alloc	113952	 480		1	480
63	free	101408	 480		1	480
64	alloc	88160	 480		1	480
65	free	55968	 480		1	480
66	free	10848	 480		1	480
67	alloc	35424	 480		1	480
68	alloc	7584	 480		1	480
69	free	49120	 480		1	480
70	free	7584	 480		1	480
71	alloc	60960	 480		1	480
72	alloc	36704	 480		1	480
73	free	90592	 480		1	480
74	free	17824	 480		1	480
75	alloc	44512	 480		1	480
76	alloc	34656	 480		1	480
77	free	32	 512		1	512
78	alloc	85024	 512		1	512
79	free	36640	 512		1	512
80	alloc	42080	 512		1	512
81	alloc	39520	 512		1	512
82	alloc	79840	 512		1	512
83	free	42080	 512		1	512
84	free	57312	 512		1	512
85	alloc	79840	 512		1	512
86	alloc	110816	 512		1	512
87	alloc	61664	 512		1	512
88	alloc	51808	 512		1	512
89	alloc	53152	 512		1	512
90	free	35424	 512		1	512
91	free	113952	 512		1	512
92	free	85024	 512		1	512
93	free	88160	 512		1	512
94	free	44512	 512		1	512
95	free	36704	 512		1	512
96	free	34656	 512		1	512
97	free	39520	 512		1	512
98	alloc	40736	 512		1	512
99	alloc	108192	 512		1	512
100	free	60960	 512		1	512
101	free	79840	 512		1	512
102	alloc	43552	 512		1	512
103	alloc	95840	 512		1	512
104	free	40736	 512		1	512
105	free	53152	 512		1	512
106	free	95840	 512		1	512
107	alloc	10464	 512		1	512
108	alloc	51552	 512		1	512
109	free	110816	 512		1	512
110	free	51552	 512		1	512
111	alloc	31200	 512		1	512
112	free	79840	 512		1	512
113	free	51808	 512		1	512
114	alloc	63648	 512		1	512
115	free	61664	 512		1	512
116	free	108192	 512		1	512
117	alloc	96480	 512		1	512
118	alloc	44832	 512		1	512
119	alloc	24864	 512		1	512
120	free	24864	 512		1	512
121	alloc	80224	 512		1	512
122	alloc	91680	 512		1	512
123	free	10464	 512		1	512
124	alloc	94752	 512		1	512
125	alloc	113376	 512		1	512
126	alloc	82272	 512		1	512
127	free	43552	 512		1	512
128	free	31200	 512		1	512
129	alloc	124832	 512		1	512
130	alloc	45664	 512		1	512
131	free	63648	 512		1	512
132	alloc	94432	 512		1	512
133	free	82272	 512		1	512
134	free	94752	 512		1	512
135	free	91680	 512		1	512
136	alloc	44192	 512		1	512
137	free	94432	 512		1	512
138	alloc	93856	 512		1	512
139	alloc	124064	 512		1	512
140	free	44192	 512		1	512
141	free	44832	 512		1	512
142	free	80224	 512		1	512
143	alloc	24288	 512		1	512
144	free	96480	 512		1	512
145	free	124064	 512		1	512
146	free	113376	 512		1	512
147	alloc	84000	 512		1	512
148	alloc	62688	 512		1	512
149	free	84000	 512		1	512
150	free	124832	 512		1	512
151	alloc	123104	 512		1	512
152	alloc	84384	 512		1	512
153	alloc	67936	 512		1	512
154	alloc	67872	 512		1	512
155	free	62688	 512		1	512
156	free	45664	 512		1	512
157	alloc	91104	 512		1	512
158	alloc	21280	 512		1	512
159	alloc	8480	 512		1	512
160	free	93856	 512		1	512
161	alloc	27872	 512		1	512
162	alloc	30304	 512		1	512
163	alloc	44256	 512		1	512
164	free	21280	 512		1	512
165	alloc	93408	 512		1	512
166	alloc	46368	 512		1	512
167	alloc	47584	 512		1	512
168	free	91104	 512		1	512
169	free	44256	 512		1	512
170	free	123104	 512		1	512
171	free	24288	 512		1	512
172	alloc	122528	 512		1	512
173	alloc	56800	 512		1	512
174	free	67936	 512		1	512
175	free	67872	 512		1	512
176	alloc	69984	 512		1	512
177	free	84384	 512		1	512
178	alloc	92448	 512		1	512
179	alloc	18400	 512		1	512
180	free	27872	 512		1	512
181	free	8480	 512		1	512
182	free	122528	 512		1	512
183	free	30304	 512		1	512
184	alloc	74080	 512		1	512
185	alloc	114656	 512		1	512
186	alloc	93216	 512		1	512
187	alloc	103776	 512		1	512
188	alloc	3936	 512		1	512
189	free	46368	 512		1	512
190	free	93408	 512		1	512
191	free	69984	 512		1	512
192	free	47584	 512		1	512
193	alloc	94240	 512		1	512
194	free	93216	 512		1	512
195	free	18400	 512		1	512
196	alloc	112480	 512		1	512
197	free	56800	 512		1	512
198	free	103776	 512		1	512
199	alloc	102560	 512		1	512
200	alloc	91424	 512		1	512
201	alloc	69472	 512		1	512
202	alloc	15328	 512		1	512
203	alloc	14240	 512		1	512
204	alloc	105760	 512		1	512
205	free	92448	 512		1	512
206	free	74080	 512		1	512
207	alloc	80608	 512		1	512
208	alloc	101536	 512		1	512
209	free	91424	 512		1	512
210	alloc	63648	 512		1	512
211	free	112480	 512		1	512
212	alloc	46304	 512		1	512
213	alloc	112480	 512		1	512
214	free	114656	 512		1	512
215	free	3936	 512		1	512
216	alloc	48992	 512		1	512
217	alloc	128224	 512		1	512
218	alloc	65568	 512		1	512
219	alloc	14816	 512		1	512
220	free	15328	 512		1	512
221	free	46304	 512		1	512
222	free	94240	 512		1	512
223	free	63648	 512		1	512
224	free	14816	 512		1	512
225	free	69472	 512		1	512
226	alloc	122592	 512		1	512
227	alloc	16480	 512		1	512
228	free	101536	 512		1	512
229	free	102560	 512		1	512
230	alloc	122080	 512		1	512
231	free	14240	 512		1	512
232	free	112480	 512		1	512
233	free	105760	 512		1	512
234	alloc	116000	 512		1	512
235	alloc	65824	 512		1	512
236	alloc	110944	 512		1	512
237	free	80608	 512		1	512
238	alloc	36192	 512		1	512
239	alloc	58336	 512		1	512
240	free	48992	 512		1	512
241	free	122592	 512		1	512
242	free	116000	 512		1	512
243	alloc	57184	 512		1	512
244	free	16480	 512		1	512
245	free	65568	 512		1	512
246	free	128224	 512		1	512
247	alloc	105632	 512		1	512
248	alloc	121056	 512		1	512
249	free	121056	 512		1	512
250	free	122080	 512		1	512
251	alloc	42080	 512		1	512
252	alloc	87328	 512		1	512
253	alloc	8352	 512		1	512
254	alloc	48416	 512		1	512
255	free	105632	 512		1	512
256	free	42080	 512		1	512
257	alloc	17312	 512		1	512
258	free	57184	 512		1	512
259	alloc	63136	 512		1	512
260	free	110944	 512		1	512
261	free	65824	 512		1	512
262	alloc	47328	 512		1	512
263	free	36192	 512		1	512
264	free	58336	 512		1	512
265	alloc	52256	 512		1	512
266	alloc	118048	 512		1	512
267	alloc	98656	 512		1	512
268	alloc	11552	 512		1	512
269	alloc	125344	 512		1	512
270	free	17312	 512		1	512
271	alloc	116064	 512		1	512
272	alloc	69664	 512		1	512
273	free	116064	 512		1	512
274	free	48416	 512		1	512
275	alloc	114976	 512		1	512
276	alloc	44064	 512		1	512
277	free	8352	 512		1	512
278	alloc	39520	 512		1	512
279	alloc	106784	 512		1	512
280	free	47328	 512		1	512
281	free	87328	 512		1	512
282	free	63136	 512		1	512
283	alloc	24096	 512		1	512
284	alloc	71968	 512		1	512
285	free	44064	 512		1	512
286	alloc	58976	 512		1	512
287	free	69664	 512		1	512
288	free	98656	 512		1	512
